"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 17:02:21 GMT 2024","Sun Sep 01 17:02:22 GMT 2024","1432","","","","InputsTest","HW18_D_Inputs_Int_Up","HW18_D_Inputs_Int_Up",""
"passed","Sun Sep 01 17:02:20 GMT 2024","Sun Sep 01 17:02:25 GMT 2024","4574","","","","WrapperCheckboxesTest","TestCheckboxesWithWrapper","TestCheckboxesWithWrapper",""
"passed","Sun Sep 01 17:02:18 GMT 2024","Sun Sep 01 17:02:23 GMT 2024","4960","","","","DynamicControlsTest","HW21_1_DynamicControls","HW21_1_DynamicControls",""
"passed","Sun Sep 01 17:02:19 GMT 2024","Sun Sep 01 17:02:21 GMT 2024","1713","","","","InputsTest","HW18_D_Inputs_Int","HW18_D_Inputs_Int",""
"passed","Sun Sep 01 17:02:20 GMT 2024","Sun Sep 01 17:02:22 GMT 2024","1588","","","","WindowsTest","MainTabTest","MainTabTest",""
"passed","Sun Sep 01 17:02:22 GMT 2024","Sun Sep 01 17:02:23 GMT 2024","1474","","","","WindowsTest","NewTabTest","NewTabTest",""
