"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 30 06:38:24 GMT 2024","Fri Aug 30 06:39:24 GMT 2024","60141","","","","InputsTest","HW18_D_Inputs_Int_Down","HW18_D_Inputs_Int_Down",""
"broken","Fri Aug 30 06:38:24 GMT 2024","Fri Aug 30 06:39:24 GMT 2024","60154","","","","WrapperAddProjectTest","AddProject","AddProject",""
"broken","Fri Aug 30 06:39:24 GMT 2024","Fri Aug 30 06:40:24 GMT 2024","60151","","","","InputsTest","HW18_D_Inputs_Int_Up","HW18_D_Inputs_Int_Up",""
"broken","Fri Aug 30 06:39:24 GMT 2024","Fri Aug 30 06:40:24 GMT 2024","60099","","","","WrapperCheckboxesTest","TestCheckboxesWithWrapper","TestCheckboxesWithWrapper",""
"broken","Fri Aug 30 06:39:24 GMT 2024","Fri Aug 30 06:40:24 GMT 2024","60113","","","","WindowsTest","NewTabTest","NewTabTest",""
"broken","Fri Aug 30 06:40:24 GMT 2024","Fri Aug 30 06:41:24 GMT 2024","60097","","","","InputsTest","HW18_D_Inputs_String","HW18_D_Inputs_String",""
"broken","Fri Aug 30 06:39:24 GMT 2024","Fri Aug 30 06:40:24 GMT 2024","60145","","","","WrapperAddProjectTest","DeleteProject","DeleteProject",""
"broken","Fri Aug 30 06:38:24 GMT 2024","Fri Aug 30 06:39:24 GMT 2024","60158","","","","WindowsTest","MainTabTest","MainTabTest",""
